,index,interval,mc,mn,quarterbeats,duration_qb,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,pedal,chord,numeral,form,figbass,changes,cadence,phraseend,chord_type,globalkey_is_minor,chord_tones,added_tones,root,bass_note,special,pedalend,volta,harmony_layer,regex_match
19,19,"[34.0, 35.0)",13,12,34,1.0,0,0,3/4,2,1,I,,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
20,20,"[35.0, 36.0)",13,12,35,1.0,1/4,1/4,3/4,2,1,I(119),,C,I,I(119),I,,,119,,,M,False,"(0, 4, 1)","(-1, 2)",0,0,,,,,
21,21,"[36.0, 37.0)",13,12,36,1.0,1/2,1/2,3/4,2,1,I],,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
22,22,"[37.0, 40.0)",14,13,37,3.0,0,0,3/4,2,1,IV,,C,,IV,IV,,,,,,M,False,"(-1, 3, 0)",(),-1,-1,,,,,
23,23,"[40.0, 43.0)",15,14,40,3.0,0,0,3/4,2,1,V(64),,C,,V(64),V,,,64,,,M,False,"(1, 0, 4)",(),1,1,,,,,
24,24,"[43.0, 45.0)",16,15,43,2.0,0,0,3/4,2,1,V7,,C,,V7,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,,,,
25,25,"[45.0, 46.0)",16,15,45,1.0,1/2,1/2,3/4,2,1,V7(9),,C,,V7(9),V,,7,9,,,Mm7,False,"(1, 5, 2, -1)","(3,)",1,1,,,,,
26,26,"[46.0, 47.0)",17,16,46,1.0,0,0,3/4,2,1,I[I(94)},,C,I,I(94),I,,,94,,},M,False,"(0, -1, 1)","(2,)",0,0,,,,,
27,27,"[47.0, 52.0)",17,16,47,5.0,1/4,1/4,3/4,2,1,I|PAC,,C,I,I,I,,,,PAC,,M,False,"(0, 4, 1)",(),0,0,,,,,
28,28,"[48.0, 48.0)",17,16,48,0.0,1/2,1/2,3/4,2,1,{,,C,I,,,,,,,{,,False,(),(),,,,,,,
29,29,"[52.0, 53.0)",19,18,52,1.0,0,0,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
30,30,"[53.0, 54.0)",19,18,53,1.0,1/4,1/4,3/4,2,1,V2(9)/V,,C,I,II2(9),II,,2,9,,,Mm7,False,"(0, 2, 6, 3)","(4,)",2,0,,,,,
31,31,"[54.0, 55.0)",19,18,54,1.0,1/2,1/2,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
32,32,"[55.0, 58.0)",20,19,55,3.0,0,0,3/4,2,1,viio43,,C,I,viio43,vii,o,43,,,,o7,False,"(-1, -4, 5, 2)",(),5,-1,,,,,
33,33,"[58.0, 59.0)",21,20,58,1.0,0,0,3/4,2,1,I,,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
